,Name,Country,Latitude,Longitude,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
0,Mar del Plata,AR,-46.43,-67.52,21.8,48,48,11.01,1522711326
1,Cape Town,ZA,-33.93,18.42,20.0,68,0,7.2,1522706400
2,Rikitea,PF,-23.12,-134.97,25.75,100,32,2.21,1522711570
3,Port Elizabeth,US,39.31,-74.98,6.0,65,90,2.36,1522709760
4,Grand Gaube,MU,-20.01,57.66,26.0,88,75,2.1,1522710000
5,Soroti,UG,1.71,33.61,18.35,100,56,1.31,1522711301
6,Bredasdorp,ZA,-34.53,20.04,14.0,93,88,1.5,1522710000
7,Tuktoyaktuk,CA,69.44,-133.03,-18.58,77,75,5.1,1522710000
8,Rio Grande,BR,-32.03,-52.1,22.0,88,0,3.76,1522705500
9,Jacareacanga,BR,-6.22,-57.76,24.92,92,20,1.26,1522711302
10,Puerto Ayora,EC,-0.74,-90.35,25.0,83,75,3.1,1522710000
11,Bandarbeyla,SO,9.49,50.81,26.72,100,80,3.31,1522711302
12,Phan Thiet,VN,10.93,108.1,24.32,99,0,4.56,1522711310
13,Jamestown,AU,-33.21,138.6,15.42,69,8,2.51,1522711580
14,Port-Gentil,GA,-0.72,8.78,26.0,94,20,2.1,1522706400
15,Punta Arenas,CL,-53.16,-70.91,9.0,70,75,5.1,1522706400
16,Port Alfred,ZA,-33.59,26.89,21.7,90,36,3.91,1522711573
17,New Norfolk,AU,-42.78,147.06,17.0,55,75,5.7,1522710000
18,Arraial do Cabo,BR,-22.97,-42.02,26.0,88,40,1.91,1522706400
19,Paamiut,GL,61.99,-49.67,1.1,84,64,4.76,1522711573
20,Saint George,GR,39.45,22.34,7.0,81,20,2.1,1522709400
21,Chokurdakh,RU,70.62,147.9,-8.21,75,0,5.71,1522711574
22,Ilulissat,GL,69.22,-51.1,-9.0,78,0,2.6,1522709400
23,Flinders,AU,-34.58,150.85,18.0,88,75,2.1,1522708200
24,Albany,US,42.65,-73.75,5.25,28,75,4.1,1522709640
25,Mandera,ET,3.94,41.86,22.62,93,56,1.41,1522711304
26,Mount Juliet,US,36.2,-86.52,13.2,68,20,2.1,1522709760
27,Linjiang,CN,41.81,126.91,0.32,89,92,2.36,1522711313
28,Souillac,FR,45.6,-0.6,13.45,58,0,8.7,1522710000
29,Chapais,CA,49.78,-74.86,-5.0,85,90,6.7,1522710180
30,Tiksi,RU,71.64,128.87,-14.08,79,68,2.06,1522711577
31,Gornopravdinsk,RU,60.06,69.92,-11.46,72,0,2.31,1522711577
32,Aklavik,CA,68.22,-135.01,-13.72,60,40,5.7,1522710000
33,Hilo,US,19.71,-155.08,28.0,58,75,4.1,1522709580
34,Khatanga,RU,71.98,102.47,-22.43,81,56,3.36,1522711453
35,Lebu,ET,8.96,38.73,9.85,88,44,1.16,1522711579
36,Nurota,UZ,40.56,65.69,12.0,71,20,5.1,1522706400
37,Sandpoint,US,48.28,-116.55,2.25,64,90,3.6,1522710900
38,Kangaatsiaq,GL,68.31,-53.46,-5.63,98,48,2.61,1522711307
39,Barrow,AR,-38.31,-60.23,15.25,74,0,2.11,1522711589
40,Severo-Kurilsk,RU,50.68,156.12,-0.46,99,92,7.81,1522711590
