,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
Aasiaat,GL,68.71,-52.87,17.73,83,12,2.59,1522710866
Abalak,NE,15.46,6.28,68.4,47,12,3.6,1522711437
Abatskoye,RU,56.29,70.46,16.56,83,8,10.54,1522711353
Abrau-Dyurso,RU,44.7,37.6,46.4,87,56,6.71,1522708200
Abu Zabad,SD,12.35,29.25,65.66,28,0,6.17,1522711374
Acajutla,SV,13.59,-89.83,91.8,55,40,4.7,1522705800
Adrar,DZ,27.87,-0.29,69.8,43,40,18.34,1522710000
Adre,TD,13.47,22.2,67.28,20,0,11.21,1522710925
Agadez,NE,16.97,7.99,67.01,20,0,5.28,1522711380
Agnibilekrou,CI,7.13,-3.2,78.35,80,8,6.51,1522711435
Ahmadpur East,PK,29.14,71.26,74.07,69,36,13.78,1522711361
Airai,TL,-8.93,125.41,77.22,72,0,1.48,1522711270
Aklavik,CA,68.22,-135.01,7.32,60,40,12.75,1522710000
Aksu,KZ,52.04,76.93,28.4,92,90,6.71,1522708200
Albany,US,42.65,-73.75,42.44,28,75,9.17,1522709640
Alenquer,BR,-1.95,-54.74,77,94,40,2.71,1522706400
Algiers,US,29.94,-90.04,78.44,78,75,12.75,1522710900
Alice Springs,AU,-23.7,133.88,73.4,38,0,10.29,1522710000
Alindao,CF,5.04,21.21,72.68,96,12,7.96,1522711470
Aljezur,PT,37.31,-8.8,58.5,98,64,11.43,1522711479
Alta Floresta,BR,-9.87,-56.08,72,98,56,2.15,1522711486
Altamira,BR,-3.2,-52.21,82.4,78,40,3.36,1522706400
Alugan,PH,12.22,125.48,80.73,94,80,10.2,1522711521
Amambai,BR,-23.11,-55.23,73.94,74,44,4.94,1522711491
Amapa,HN,15.09,-87.97,82.4,65,20,16.11,1522710000
Ambilobe,MG,-13.19,49.05,70.11,92,8,3.71,1522711365
Anadyr,RU,64.73,177.51,24.8,85,75,8.95,1522708200
Ancud,CL,-41.87,-73.83,56.25,96,48,3.6,1522710967
Andreapol,RU,56.65,32.27,31.73,99,92,14.67,1522711338
Anori,BR,-3.74,-61.66,77.76,92,36,4.5,1522711337
Antalaha,MG,-14.9,50.28,74.21,100,92,6.62,1522711372
Aranos,NA,-24.14,19.11,69.93,33,88,10.2,1522711464
Araouane,ML,18.9,-3.53,71.24,23,0,3.15,1522711515
Ardakan,IR,32.31,54.02,64.4,23,12,0.69,1522706400
Arieseni,RO,46.48,22.77,30.74,90,0,1.92,1522711459
Aripuana,BR,-9.17,-60.63,74.21,98,24,2.59,1522710776
