,Name,Country,Latitude,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
0,Butterworth,MY,5.4,26.51,88,75,2.6,1522177200
1,Furano,JP,43.28,0.72,75,32,2.07,1522180048
2,Provideniya,RU,64.42,-5.26,100,76,1.77,1522179986
3,Ponta do Sol,BR,-20.63,24.52,53,8,1.72,1522179813
4,Sint-Truiden,BE,50.82,7.11,100,88,2.1,1522178700
5,Ushuaia,AR,-54.81,10.45,43,75,4.6,1522177200
6,Mataura,NZ,-46.19,15.25,68,48,6.07,1522180055
7,New Norfolk,AU,-42.78,14.0,76,75,2.6,1522179000
8,Kapaa,US,22.08,22.46,73,1,1.5,1522176960
9,Haines Junction,CA,60.75,-10.48,78,64,0.97,1522180049
10,Hirara,JP,24.8,21.62,100,0,5.97,1522179808
11,Manoel Urbano,BR,-8.84,27.85,76,44,1.17,1522179815
12,Hermanus,ZA,-34.42,12.8,83,32,1.72,1522180049
13,Avarua,CK,-21.21,26.0,88,90,5.7,1522177200
14,Vulcanesti,MD,45.68,0.52,90,88,2.52,1522180050
15,Freeport,BS,26.54,23.0,56,40,4.6,1522177200
16,Verkhoyansk,RU,67.55,-17.71,82,24,2.07,1522180057
17,Carnarvon,ZA,-30.97,16.3,35,0,3.27,1522180057
18,Vaini,IN,15.34,21.12,95,24,1.17,1522180051
19,Edd,ER,13.93,21.05,31,0,2.17,1522179810
20,Albany,US,42.65,7.99,23,90,4.6,1522176840
21,Nome,US,30.04,26.0,69,90,4.6,1522178100
22,Saint-Philippe,CA,45.36,7.49,39,90,6.7,1522178100
23,Margate,AU,-43.03,14.0,76,75,2.6,1522179000
24,San Policarpo,PH,12.18,24.12,100,88,4.12,1522180052
25,Yumen,CN,40.29,5.7,46,20,4.22,1522179819
26,Luderitz,NA,-26.65,18.0,77,0,1.5,1522177200
27,Chekhov,RU,55.14,-5.67,62,0,3.0,1522177200
28,Nueva Loja,EC,0.08,24.0,94,75,1.5,1522177200
29,Torbay,CA,47.66,7.0,20,75,4.1,1522177200
30,Isangel,VU,-19.55,26.8,100,92,10.32,1522179995
31,Jamestown,AU,-33.21,13.9,50,0,3.32,1522179782
32,Mecca,SA,21.43,30.0,51,0,1.0,1522177200
33,Siavonga,ZW,-16.54,23.47,85,76,2.47,1522179815
34,Mukhtolovo,RU,55.47,-3.66,89,88,5.02,1522180059
35,Chuy,UY,-33.69,20.7,77,56,5.67,1522179816
36,Thinadhoo,MV,0.53,29.1,100,80,2.47,1522179816
37,Muriwai Beach,NZ,-36.82,17.0,100,68,0.5,1522179000
38,Rikitea,PF,-23.12,26.4,100,80,6.57,1522179817
39,Hobart,AU,-42.88,14.0,76,75,2.6,1522179000
40,Gat,SN,14.69,35.0,28,0,1.42,1522177200
41,Lavumisa,ZA,-27.31,16.7,94,0,1.17,1522180057
42,Punta Arenas,CL,-53.16,13.0,26,40,9.3,1522177200
43,Esperance,TT,10.24,31.0,52,40,6.7,1522177200
44,Ulagan,RU,50.63,-14.01,87,0,1.47,1522180057
45,Saint-Augustin,FR,44.83,12.0,100,90,6.2,1522179000
46,Solano,PH,16.52,15.95,93,44,0.32,1522180058
47,Jumla,NP,29.28,-2.38,79,0,1.27,1522180065
48,Ahipara,NZ,-35.17,19.65,94,32,2.07,1522180066
49,Clyde River,CA,70.47,-19.0,77,75,2.1,1522177200
50,Ixtapa,MX,20.71,25.0,83,5,5.7,1522176180
51,Kautokeino,NO,69.01,-9.86,91,64,1.77,1522180060
52,Puerto Ayora,EC,-0.74,28.0,74,20,6.2,1522177200
53,Abalak,NE,15.46,26.72,20,8,5.92,1522180061
54,San Patricio,PY,-26.98,23.3,66,92,0.92,1522179821
55,Ostrovnoy,RU,68.05,-8.96,87,48,6.12,1522180007
56,Chapais,CA,49.78,5.0,35,40,7.7,1522177200
57,Talnakh,RU,69.49,-14.21,77,68,3.57,1522180061
58,Castro,CL,-42.48,13.95,98,92,2.87,1522179823
59,Vigevano,IT,45.32,11.0,43,0,1.5,1522178400
60,Vanimo,PG,-2.67,26.77,100,88,1.12,1522180062
61,Tongliao,CN,43.61,10.47,29,76,6.97,1522180062
62,Makakilo City,US,21.35,24.0,61,40,4.1,1522177020
63,Porto Novo,BR,-23.68,29.0,51,40,2.1,1522177200
64,Mahebourg,MU,-20.41,25.0,83,20,1.5,1522177200
65,Steinbach,CA,49.53,4.0,64,75,3.1,1522177200
66,Hammerfest,NO,70.66,-2.07,68,40,10.3,1522178400
67,Port Alfred,ZA,-33.59,23.97,77,0,6.72,1522179891
68,Tasiilaq,GL,65.61,0.0,92,90,14.4,1522176600
69,Georgetown,GY,6.8,29.0,66,40,6.2,1522177200
70,Kolobrzeg,PL,54.18,1.8,82,80,4.32,1522180071
71,Mar del Plata,AR,-46.43,18.85,46,64,9.07,1522179983
72,The Valley,AI,18.22,28.0,61,40,5.1,1522177200
73,Bethel,US,60.79,1.0,86,90,5.7,1522177440
74,Tuktoyaktuk,CA,69.44,-20.41,83,90,1.5,1522177200
75,Sri Aman,MY,1.24,24.0,94,75,0.5,1522177200
76,Emerald,AU,-23.53,22.2,76,0,4.12,1522180066
77,Fukue,JP,35.03,10.0,81,20,2.1,1522177200
78,Pevek,RU,69.7,-23.01,67,0,2.17,1522180073
79,Angoram,PG,-4.06,24.15,100,44,1.07,1522180074
80,East London,ZA,-33.02,24.52,94,0,10.37,1522180068
81,Pacific Grove,US,36.62,17.98,39,1,4.1,1522179300
82,Starobesheve,UA,47.75,0.65,100,80,2.97,1522179832
83,Lincoln,US,40.8,9.78,50,20,3.1,1522178100
84,Somerset East,ZA,-32.72,19.65,27,0,3.57,1522179834
85,Brandon,US,43.59,6.27,95,1,2.1,1522178100
86,Thompson,CA,55.74,-13.0,42,20,6.2,1522177200
87,Hamilton,CA,43.26,3.61,100,90,6.2,1522177980
88,Cape Town,ZA,-33.93,17.0,88,0,3.6,1522177200
89,Pangnirtung,CA,66.15,-19.0,64,20,4.6,1522177200
90,Maputo,MZ,-25.97,25.0,78,40,2.1,1522177200
91,Kastamonu,TR,41.38,2.97,97,0,1.07,1522179890
92,Chokurdakh,RU,70.62,-21.46,74,64,2.92,1522180016
93,Nikolskoye,RU,59.7,-6.0,67,0,2.0,1522177200
94,Puerto Quijarro,BO,-19.0,25.51,69,75,4.1,1522177200
95,Lata,IN,30.78,6.75,55,0,1.12,1522180073
96,Egvekinot,RU,66.32,-13.88,81,68,1.52,1522180073
97,Katsuura,JP,33.93,6.7,83,0,1.07,1522180073
98,Kodiak,US,39.95,6.0,81,90,4.1,1522176780
99,Voi,KE,-3.4,18.85,98,80,0.57,1522180074
100,Broome,GB,52.47,9.0,93,0,2.6,1522178400
101,Lasa,CY,34.92,14.51,81,20,1.5,1522179000
102,Bonavista,CA,48.65,1.77,75,0,0.97,1522179838
103,Yellowknife,CA,62.45,-17.0,49,75,3.6,1522177200
104,Oildale,US,35.42,15.89,36,1,2.6,1522176960
105,Berlin,DE,52.52,2.98,60,0,3.1,1522178400
106,Dikson,RU,73.51,-24.71,78,8,8.07,1522179977
107,San Carlos,VE,9.66,34.0,56,40,2.17,1522177200
108,Bredasdorp,ZA,-34.53,18.0,63,56,4.6,1522177200
109,Gardez,AF,33.6,2.47,47,0,2.47,1522180076
110,Zhigansk,RU,66.77,-21.38,59,12,1.87,1522179842
111,Aklavik,CA,68.22,-18.06,58,5,1.0,1522177200
112,Cherskiy,RU,68.75,-20.76,55,48,1.22,1522179849
113,Constitucion,MX,23.99,25.0,11,5,7.7,1522176120
114,Geraldton,CA,49.72,1.0,74,90,5.7,1522177800
115,Merauke,ID,-8.49,24.65,100,36,3.57,1522180084
116,Saint George,GR,39.45,12.0,62,20,2.6,1522176600
117,Norman Wells,CA,65.28,-23.0,63,20,1.0,1522177200
118,Khatanga,RU,71.98,-36.63,60,8,2.52,1522179851
119,Namatanai,PG,-3.66,27.95,100,76,1.87,1522180078
120,Half Moon Bay,US,37.46,18.9,48,40,2.1,1522176960
121,Bluff,AU,-23.58,22.12,81,0,4.72,1522180079
122,Narsaq,GL,60.91,-3.0,35,40,2.6,1522176600
123,Kharsia,IN,21.99,17.8,54,0,1.27,1522179848
124,Port Elizabeth,US,39.31,6.01,65,1,3.1,1522176960
125,Mount Gambier,AU,-37.83,17.15,67,0,2.77,1522180079
126,Salalah,OM,17.01,27.0,65,0,1.0,1522176600
127,Panguna,PG,-6.32,25.65,80,8,1.37,1522180080
128,Barrow,AR,-38.31,23.12,38,0,7.02,1522180087
129,Grozesti,RO,44.65,4.0,91,0,3.1,1522179000
130,Khao Yoi,TH,13.24,21.52,97,64,1.17,1522180088
131,Broken Hill,AU,-31.97,9.5,62,0,1.82,1522180082
132,Busselton,AU,-33.64,18.35,100,88,5.12,1522179986
133,Gidole,ET,5.65,23.8,40,0,2.67,1522179858
134,Lazarev,RU,52.23,-5.13,74,24,2.52,1522180082
135,Los Llanos de Aridane,ES,28.66,18.0,72,40,7.7,1522179000
136,Butaritari,KI,3.07,27.65,100,76,5.52,1522180082
137,Qaqortoq,GL,60.72,-3.0,35,40,2.6,1522176600
138,Severo-Kurilsk,RU,50.68,-1.41,97,88,5.27,1522179992
139,Aasiaat,GL,68.71,-15.73,100,44,2.97,1522179860
140,Flinders,AU,-34.58,12.0,100,0,2.67,1522177200
141,Grocka,RS,44.67,4.0,80,0,3.6,1522179000
142,Kruisfontein,ZA,-34.0,23.05,62,0,8.72,1522180090
143,Ngaoundere,CM,7.32,19.97,51,0,1.87,1522180084
144,Acapulco,MX,16.86,28.0,65,40,5.7,1522176180
145,Vardo,US,39.62,4.02,86,90,5.7,1522178100
146,Rockland,US,42.13,7.16,60,1,2.1,1522178100
